song_file;songs.thisRepN;songs.thisTrialN;songs.thisN;songs.thisIndex;background.started;background.stopped;cross.started;cross.stopped;eyesclosed1.started;eyesclosed1.stopped;text_20.started;text_20.stopped;baseline_time;background4.started;background4.stopped;baseline_valence.response;baseline_arousal.response;yes1.keys;yes1.rt;yes1.started;yes1.stopped;text_14.started;text_14.stopped;eyes7.started;eyes7.stopped;crosses7.started;crosses7.stopped;oefenrondebutton2.started;oefenrondebutton2.stopped;secretkeypress.keys;secretkeypress.started;secretkeypress.stopped;oefenrondebutton3.started;oefenrondebutton3.stopped;oefenrondebutton4.started;oefenrondebutton4.stopped;text_15.started;text_15.stopped;ja2.keys;ja2.rt;ja2.started;ja2.stopped;oefenrondebutton5.started;oefenrondebutton5.stopped;background_extra_2.started;background_extra_2.stopped;image.started;image.stopped;text_17.started;text_17.stopped;text_18.started;text_18.stopped;oefenrondebutton6.started;oefenrondebutton6.stopped;crossess.started;crossess.stopped;secretkeypress2.keys;secretkeypress2.started;secretkeypress2.stopped;image_7.started;image_7.stopped;secretkeypress3.keys;secretkeypress3.started;secretkeypress3.stopped;key_resp_4.keys;key_resp_4.rt;key_resp_4.started;key_resp_4.stopped;oefenrondebutton7.started;oefenrondebutton7.stopped;image_8.started;image_8.stopped;text_21.started;text_21.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;peep.started;peep.stopped;text_8.started;text_8.stopped;eyesclosed2.started;eyesclosed2.stopped;crosses2.started;crosses2.stopped;secretkeypress4.keys;secretkeypress4.started;secretkeypress4.stopped;stimulus_scrn_stime;background14.started;background14.stopped;song_start.started;song_start.stopped;image_4.started;image_4.stopped;image_5.started;image_5.stopped;secretkeypress5.keys;secretkeypress5.started;secretkeypress5.stopped;SAM_valence_score.response;secretkeypress9.keys;secretkeypress9.started;secretkeypress9.stopped;SAM_arousal_score.response;secretkeypress8.keys;secretkeypress8.started;secretkeypress8.stopped;ja3.keys;ja3.rt;ja3.started;ja3.stopped;text_19.started;text_19.stopped;reflection_time_start;background_extra.started;background_extra.stopped;text_16.started;text_16.stopped;text_13.started;text_13.stopped;image_9.started;image_9.stopped;key_resp_8.keys;key_resp_8.started;key_resp_8.stopped;secretkeypress7.keys;secretkeypress7.started;secretkeypress7.stopped;participant;session;date;expName;psychopyVersion;frameRate
;;;;;37,44527928;None;66,45799251;None;66,45799251;None;66,45799251;None;1651484088;81,39661413;None;8;3;j;23,44671858;143,3602264;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2051100;1;2022_May_02_1133;CNPthesisExperiment;2021.1.4;59,82237301
;;;;;;;;;;;;;;;;;;;;;;175,0287668;190,8372084;175,0287668;190,8372084;175,0287668;190,8372084;166,8569582;None;None;166,8569582;176,8663794;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2051100;1;2022_May_02_1133;CNPthesisExperiment;2021.1.4;59,82237301
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;190,8571562;None;209,1531498;None;218,5624597;None;j;21,77179562;218,5624597;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2051100;1;2022_May_02_1133;CNPthesisExperiment;2021.1.4;59,82237301
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;218,5624597;None;240,3541733;None;240,3541733;None;240,3541733;None;250,3289455;255,32655;240,3541733;None;240,3541733;None;None;240,3541733;250,3625671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2051100;1;2022_May_02_1133;CNPthesisExperiment;2021.1.4;59,82237301
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;255,3930787;None;None;255,3930787;263,3977803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2051100;1;2022_May_02_1133;CNPthesisExperiment;2021.1.4;59,82237301
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;j;6,617184586;265,3694637;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2051100;1;2022_May_02_1133;CNPthesisExperiment;2021.1.4;59,82237301
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;265,3694637;None;272,0040422;None;272,0040422;None;space;21,9244627;272,0040422;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2051100;1;2022_May_02_1133;CNPthesisExperiment;2021.1.4;59,82237301
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;339,9361902;343,9458569;293,9493359;298,9591818;293,9493359;338,9501898;293,9493359;338,9501898;None;293,9493359;333,9524374;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2051100;1;2022_May_02_1133;CNPthesisExperiment;2021.1.4;59,82237301
songs/happy1.wav;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1651484357;350,066893;None;360,0563209;None;359,154259;449,1612606;359,154259;449,1612606;None;350,066893;430,0763849;9;None;449,979843;None;7;None;460,6919315;470,700928;j;17,42654686;474,6487346;None;474,6487346;None;1651484499;492,1093887;None;492,1093887;None;527,0852654;537,0954362;492,1093887;None;None;492,1093887;502,1185813;None;537,1291367;547,1389415;2051100;1;2022_May_02_1133;CNPthesisExperiment;2021.1.4;59,82237301
songs/happy2.wav;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1651484574;567,2134694;None;577,203147;None;576,2999821;666,3068026;576,2999821;666,3068026;None;567,2134694;647,223138;8;None;667,1427061;None;5;None;675,8199209;None;j;13,84608597;684,4904216;None;684,4904216;None;1651484705;698,3590288;None;698,3590288;None;733,336695;743,3460576;698,3590288;None;None;698,3590288;708,3693977;None;743,3996394;753,4068426;2051100;1;2022_May_02_1133;CNPthesisExperiment;2021.1.4;59,82237301
