song_file;songs.thisRepN;songs.thisTrialN;songs.thisN;songs.thisIndex;background.started;background.stopped;cross.started;cross.stopped;eyesclosed1.started;eyesclosed1.stopped;text_20.started;text_20.stopped;background4.started;background4.stopped;baseline_valence.response;baseline_arousal.response;yes1.keys;yes1.rt;yes1.started;yes1.stopped;text_14.started;text_14.stopped;eyes7.started;eyes7.stopped;crosses7.started;crosses7.stopped;oefenrondebutton2.started;oefenrondebutton2.stopped;secret.keys;secret.started;secret.stopped;oefenrondebutton3.started;oefenrondebutton3.stopped;oefenrondebutton4.started;oefenrondebutton4.stopped;text_15.started;text_15.stopped;ja2.keys;ja2.rt;ja2.started;ja2.stopped;oefenrondebutton5.started;oefenrondebutton5.stopped;background_extra_2.started;background_extra_2.stopped;image.started;image.stopped;text_17.started;text_17.stopped;text_18.started;text_18.stopped;oefenrondebutton6.started;oefenrondebutton6.stopped;crossess.started;crossess.stopped;secretkeypress2.keys;secretkeypress2.started;secretkeypress2.stopped;image_7.started;image_7.stopped;secretkeypress3.keys;secretkeypress3.started;secretkeypress3.stopped;key_resp_4.keys;key_resp_4.rt;key_resp_4.started;key_resp_4.stopped;oefenrondebutton7.started;oefenrondebutton7.stopped;image_8.started;image_8.stopped;text_21.started;text_21.stopped;key_resp_2.keys;key_resp_2.rt;key_resp_2.started;key_resp_2.stopped;baseline_time;peep.started;peep.stopped;text_8.started;text_8.stopped;eyesclosed2.started;eyesclosed2.stopped;crosses2.started;crosses2.stopped;secretkeypress4.keys;secretkeypress4.started;secretkeypress4.stopped;stimulus_scrn_stime;background14.started;background14.stopped;song_start.started;song_start.stopped;image_4.started;image_4.stopped;image_5.started;image_5.stopped;secretkeypress5.keys;secretkeypress5.started;secretkeypress5.stopped;SAM_valence_score.response;secretkeypress9.keys;secretkeypress9.started;secretkeypress9.stopped;SAM_arousal_score.response;secretkeypress8.keys;secretkeypress8.started;secretkeypress8.stopped;ja3.keys;ja3.rt;ja3.started;ja3.stopped;text_19.started;text_19.stopped;reflection_time_start;background_extra.started;background_extra.stopped;text_16.started;text_16.stopped;text_13.started;text_13.stopped;image_9.started;image_9.stopped;key_resp_8.keys;key_resp_8.started;key_resp_8.stopped;secretkeypress7.keys;secretkeypress7.started;secretkeypress7.stopped;participant;session;date;expName;psychopyVersion;frameRate
;;;;;32,88653712;None;34,46827262;None;34,46827262;None;34,46827262;None;35,58777987;None;6;6;j;2,983825945;89,93302825;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04051450_2;1;2022_May_04_1524;CNPthesisExperiment;2021.1.4;59,86835473
;;;;;;;;;;;;;;;;;;;;;101,1300068;116,939042;101,1300068;116,939042;101,1300068;116,939042;92,95827784;None;None;92,95827784;102,9677547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04051450_2;1;2022_May_04_1524;CNPthesisExperiment;2021.1.4;59,86835473
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;116,9583032;None;123,2726483;None;128,4704214;None;j;10,20000084;128,4704214;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04051450_2;1;2022_May_04_1524;CNPthesisExperiment;2021.1.4;59,86835473
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;128,4704214;None;138,6975759;None;138,6975759;None;138,6975759;None;148,6728613;153,6866888;138,6975759;None;138,6975759;None;None;138,6975759;148,7064455;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04051450_2;1;2022_May_04_1524;CNPthesisExperiment;2021.1.4;59,86835473
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153,7366799;None;None;153,7366799;161,7419474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04051450_2;1;2022_May_04_1524;CNPthesisExperiment;2021.1.4;59,86835473
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;j;4,28011252;163,6968311;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04051450_2;1;2022_May_04_1524;CNPthesisExperiment;2021.1.4;59,86835473
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;163,6968311;None;168,0083463;None;168,0083463;None;space;4,301838183;168,0083463;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04051450_2;1;2022_May_04_1524;CNPthesisExperiment;2021.1.4;59,86835473
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1651670808;218,3263894;222,3367286;172,3396567;177,3501277;172,3396567;217,3401548;172,3396567;217,3401548;None;172,3396567;212,3433388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;04051450_2;1;2022_May_04_1524;CNPthesisExperiment;2021.1.4;59,86835473
songs/sad1.wav;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1651670864;228,4536231;None;238,4467031;None;237,5444633;327,551441;237,5444633;327,551441;None;228,4536231;308,4670392;3;None;328,370523;None;3;None;337,7459268;347,7547515;j;13,52592865;352,9197182;None;352,9197182;None;1651671002;366,4724397;None;366,4724397;None;401,448563;411,4583765;366,4724397;None;None;366,4724397;376,4813749;None;411,492051;421,5021454;04051450_2;1;2022_May_04_1524;CNPthesisExperiment;2021.1.4;59,86835473
songs/sad2.wav;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1651671077;441,5757426;None;451,565759;None;450,6637258;540,6703032;450,6637258;540,6703032;None;441,5757426;521,5863054;4;None;541,4923028;None;5;None;552,1887296;None;j;5,808463071;560,1725595;None;560,1725595;None;1651671201;566,0048452;None;566,0048452;None;600,9813199;610,9915659;566,0048452;None;None;566,0048452;576,0151688;None;611,025457;621,0347671;04051450_2;1;2022_May_04_1524;CNPthesisExperiment;2021.1.4;59,86835473
