timeFrame,upper_belt
180.0,0.01514
180.04,0.00612
180.08,-0.00586
180.12,-0.00195
180.16,0.00616
180.2,0.00655
180.24,0.00379
180.28,0.02007
180.32,0.06268
180.36,0.10121
180.4,0.1177
180.44,0.13777
180.48,0.15104
180.52,0.16819
180.56,0.18711
180.6,0.17184
180.64,0.1338
180.68,0.10091
180.72,0.10082
180.76,0.10559
180.8,0.11551
180.84,0.12372
180.88,0.11964
180.92,0.13435
180.96,0.1235
181.0,0.10389
181.04,0.10359
181.08,0.0954
181.12,0.09642
181.16,0.10004
181.2,0.09305
181.24,0.08494
181.28,0.07097
181.32,0.05611
181.36,0.04534
181.4,0.0262
181.44,0.01877
181.48,0.02142
181.52,0.01144
181.56,0.00505
181.6,0.00522
181.64,0.00521
181.68,0.00402
181.72,0.00302
181.76,-0.01837
181.8,-0.02075
181.84,0.03606
181.88,0.05515
181.92,0.04493
181.96,0.06781
182.0,0.0816
182.04,0.06933
182.08,0.05367
182.12,0.03232
182.16,-0.03173
182.2,-0.08047
182.24,-0.07171
182.28,-0.0444
182.32,0.00199
182.36,0.0207
182.4,-0.00916
182.44,-0.03426
182.48,-0.05975
182.52,-0.10117
182.56,-0.1243
182.6,-0.12952
182.64,-0.12661
182.68,-0.11693
182.72,-0.1093
182.76,-0.08435
182.8,-0.07093
182.84,-0.08474
182.88,-0.09334
182.92,-0.09769
182.96,-0.09338
183.0,-0.09886
183.04,-0.09574
183.08,-0.05043
183.12,-0.00558
183.16,0.04262
183.2,0.0774
183.24,0.08217
183.28,0.10502
183.32,0.13802
183.36,0.16095
183.4,0.16145
183.44,0.15966
183.48,0.17908
183.52,0.20806
183.56,0.2338
183.6,0.2414
183.64,0.25559
183.68,0.26883
183.72,0.25099
183.76,0.22638
183.8,0.22669
183.84,0.23146
183.88,0.22014
183.92,0.21759
183.96,0.21689
184.0,0.22132
184.04,0.23143
184.08,0.22889
184.12,0.22832
184.16,0.23198
184.2,0.23172
184.24,0.23004
184.28,0.23133
184.32,0.22874
184.36,0.22081
184.4,0.20595
184.44,0.21879
184.48,0.23131
184.52,0.17502
184.56,0.13967
184.6,0.14501
184.64,0.14361
184.68,0.14792
184.72,0.14176
184.76,0.12703
184.8,0.10983
184.84,0.11082
184.88,0.12118
184.92,0.12216
184.96,0.12598
185.0,0.13099
185.04,0.13727
185.08,0.1433
185.12,0.13951
185.16,0.10667
185.2,0.07435
185.24,0.05466
185.28,0.03312
185.32,0.03128
185.36,0.03943
185.4,0.06048
185.44,0.08952
185.48,0.0968
185.52,0.10057
185.56,0.11578
185.6,0.11714
185.64,0.10564
185.68,0.10799
185.72,0.10628
185.76,0.08104
185.8,0.05863
185.84,0.05144
185.88,0.04679
185.92,0.04068
