timeFrame,upper_belt
0.0,0.38827
0.04,0.83617
0.08,0.79038
0.12,0.83656
0.16,0.82912
0.2,0.76062
0.24,0.65146
0.28,0.62839
0.32,0.64124
0.36,0.60166
0.4,0.61571
0.44,0.57852
0.48,0.57269
0.52,0.55963
0.56,0.54498
0.6,0.57487
0.64,0.58482
0.68,0.60734
0.72,0.64313
0.76,0.60023
0.8,0.52945
0.84,0.51151
0.88,0.49968
0.92,0.50517
0.96,0.51741
1.0,0.5326
1.04,0.54603
1.08,0.56138
1.12,0.58326
1.16,0.59268
1.2,0.56984
1.24,0.5358
1.28,0.54484
1.32,0.54132
1.36,0.51927
1.4,0.5121
1.44,0.50275
1.48,0.50838
1.52,0.53742
1.56,0.58299
1.6,0.61681
1.64,0.61803
1.68,0.59995
1.72,0.5633
1.76,0.5367
1.8,0.49738
1.84,0.43669
1.88,0.42958
1.92,0.4314
1.96,0.38187
2.0,0.33145
2.04,0.31636
2.08,0.29197
2.12,0.2756
2.16,0.26563
2.2,0.25181
2.24,0.28122
2.28,0.32059
2.32,0.37797
2.36,0.44276
2.4,0.59732
2.44,0.74475
2.48,0.69956
2.52,0.67654
2.56,0.67803
2.6,0.63044
2.64,0.61532
2.68,0.60652
2.72,0.58999
2.76,0.56684
2.8,0.57665
2.84,0.62919
2.88,0.66058
2.92,0.60964
2.96,0.56125
3.0,0.56909
3.04,0.56924
3.08,0.59144
3.12,0.62556
3.16,0.62546
3.2,0.60185
3.24,0.58784
3.28,0.58726
3.32,0.60249
3.36,0.62507
3.4,0.62429
3.44,0.62768
3.48,0.63331
3.52,0.638
3.56,0.64712
3.6,0.64198
3.64,0.62737
3.68,0.6231
3.72,0.61544
3.76,0.61569
3.8,0.63912
3.84,0.66334
3.88,0.74152
3.92,0.77697
3.96,0.71492
4.0,0.68963
4.04,0.67778
4.08,0.63994
4.12,0.61506
4.16,0.61736
4.2,0.62772
4.24,0.63102
4.28,0.61297
4.32,0.58509
4.36,0.55743
4.4,0.54037
4.44,0.54931
4.48,0.54347
4.52,0.552
4.56,0.57767
4.6,0.57179
4.64,0.56446
4.68,0.57391
4.72,0.57578
4.76,0.58726
4.8,0.61299
4.84,0.617
4.88,0.61298
4.92,0.60042
4.96,0.58062
5.0,0.56216
5.04,0.53513
5.08,0.52385
5.12,0.52273
5.16,0.51511
5.2,0.49846
5.24,0.47284
5.28,0.473
5.32,0.43843
5.36,0.36039
5.4,0.3233
5.44,0.31976
5.48,0.36112
5.52,0.39212
5.56,0.42971
5.6,0.48796
5.64,0.49623
5.68,0.49697
5.72,0.48882
5.76,0.49249
5.8,0.48779
5.84,0.47862
5.88,0.47467
5.92,0.45665
5.96,0.46873
6.0,0.46633
6.04,0.45812
6.08,0.4659
6.12,0.47123
6.16,0.46839
6.2,0.47881
6.24,0.47652
6.28,0.47592
6.32,0.51988
6.36,0.51389
6.4,0.51448
6.44,0.52684
6.48,0.50303
6.52,0.48749
6.56,0.45359
6.6,0.43749
6.64,0.42985
6.68,0.4322
6.72,0.44407
6.76,0.41816
6.8,0.40756
6.84,0.39599
6.88,0.36784
6.92,0.33977
6.96,0.30392
7.0,0.32481
7.04,0.33536
7.08,0.29462
7.12,0.29811
7.16,0.29831
7.2,0.26662
7.24,0.23652
7.28,0.22434
7.32,0.21572
7.36,0.20439
7.4,0.23608
7.44,0.25199
7.48,0.23404
7.52,0.22131
7.56,0.21284
7.6,0.21785
7.64,0.20277
7.68,0.19813
7.72,0.2226
7.76,0.2066
7.8,0.18168
7.84,0.16372
7.88,0.14836
7.92,0.15268
7.96,0.14282
8.0,0.1662
8.04,0.17164
8.08,0.13619
8.12,0.09754
8.16,-0.00834
8.2,-0.06969
8.24,-0.03142
8.28,0.01264
8.32,-0.00309
8.36,-0.05583
8.4,-0.06781
8.44,-0.03135
8.48,0.03651
8.52,0.09978
8.56,0.15384
8.6,0.22809
8.64,0.37907
8.68,0.46593
8.72,0.36567
8.76,0.28205
8.8,0.27253
8.84,0.27925
8.88,0.28921
8.92,0.27458
8.96,0.28412
9.0,0.31145
9.04,0.31957
9.08,0.32981
9.12,0.32607
9.16,0.31941
9.2,0.31907
9.24,0.30086
9.28,0.2995
9.32,0.29744
9.36,0.28749
9.4,0.28676
9.44,0.28196
9.48,0.2769
9.52,0.28114
9.56,0.29233
9.6,0.28198
9.64,0.27105
9.68,0.21423
9.72,0.13678
9.76,0.12586
9.8,0.11603
9.84,0.10116
9.88,0.09594
9.92,0.08783
9.96,0.0814
10.0,0.09235
10.04,0.11593
10.08,0.15577
10.12,0.21858
10.16,0.27615
10.2,0.3616
10.24,0.42933
10.28,0.46709
10.32,0.50218
10.36,0.49598
10.4,0.48923
10.44,0.48894
10.48,0.48923
10.52,0.4838
10.56,0.45556
10.6,0.43022
10.64,0.40781
10.68,0.39586
10.72,0.39784
10.76,0.41869
10.8,0.4435
10.84,0.45349
10.88,0.47679
10.92,0.49647
10.96,0.49104
11.0,0.47225
11.04,0.47504
11.08,0.48662
11.12,0.5078
11.16,0.5265
11.2,0.50283
11.24,0.5138
11.28,0.49906
11.32,0.44673
11.36,0.41877
11.4,0.38841
11.44,0.37902
11.48,0.3723
11.52,0.38517
11.56,0.4099
11.6,0.44193
11.64,0.44281
11.68,0.41173
11.72,0.42397
11.76,0.43303
11.8,0.44729
11.84,0.48273
11.88,0.50199
11.92,0.51492
11.96,0.55927
12.0,0.58256
12.04,0.56289
12.08,0.57058
12.12,0.5745
12.16,0.5739
12.2,0.57062
12.24,0.55498
12.28,0.59474
12.32,0.58336
12.36,0.50832
12.4,0.50941
12.44,0.52167
12.48,0.56392
12.52,0.60079
12.56,0.6071
12.6,0.6387
12.64,0.63697
12.68,0.64799
12.72,0.62688
12.76,0.58185
12.8,0.56091
12.84,0.55395
12.88,0.54793
12.92,0.52015
12.96,0.51539
13.0,0.48516
13.04,0.48397
13.08,0.47595
13.12,0.4346
13.16,0.45973
13.2,0.46924
13.24,0.47111
13.28,0.47571
13.32,0.4862
13.36,0.51269
