timeFrame,upper_belt
180.0,0.16756
180.04,0.15319
180.08,0.13775
180.12,0.13586
180.16,0.13987
180.2,0.13608
180.24,0.12069
180.28,0.10544
180.32,0.09084
180.36,0.06933
180.4,0.05944
180.44,0.0511
180.48,0.03711
180.52,0.01821
180.56,0.00669
180.6,0.00225
180.64,-0.02807
180.68,-0.03716
180.72,-0.01176
180.76,-0.0074
180.8,-0.02749
180.84,-0.04292
180.88,-0.02887
180.92,-0.01015
180.96,-0.02469
181.0,-0.0428
181.04,-0.04184
181.08,-0.04282
181.12,-0.04456
181.16,-0.04966
181.2,-0.05203
181.24,-0.04231
181.28,-0.03642
181.32,-0.05192
181.36,-0.08598
181.4,-0.09958
181.44,-0.07988
181.48,-0.02673
181.52,0.00381
181.56,-0.00142
181.6,0.08217
181.64,0.1803
181.68,0.21327
181.72,0.26032
181.76,0.27591
181.8,0.29322
181.84,0.33448
181.88,0.33053
181.92,0.32904
181.96,0.32142
182.0,0.2847
182.04,0.27101
182.08,0.28637
182.12,0.29129
182.16,0.27087
182.2,0.23138
182.24,0.19824
182.28,0.19529
182.32,0.19441
182.36,0.19302
182.4,0.17794
182.44,0.14986
182.48,0.14942
182.52,0.16038
182.56,0.17014
182.6,0.17521
182.64,0.17484
182.68,0.16367
182.72,0.13826
182.76,0.12003
182.8,0.09704
182.84,0.07524
182.88,0.07906
182.92,0.08544
182.96,0.08407
183.0,0.08575
183.04,0.08693
183.08,0.08399
183.12,0.08633
183.16,0.08236
183.2,0.05815
183.24,0.04816
183.28,0.04268
183.32,0.03703
183.36,0.01416
183.4,-0.01821
183.44,0.0263
183.48,0.04095
183.52,-0.01361
183.56,-0.02026
183.6,-0.00977
183.64,-0.00876
183.68,-0.00376
183.72,-0.01308
183.76,-0.02083
183.8,0.01092
183.84,0.02525
183.88,-0.02107
183.92,-0.05109
183.96,-0.04705
184.0,-0.05154
184.04,-0.06807
184.08,-0.06949
184.12,-0.04716
184.16,-0.03852
184.2,-0.04957
184.24,-0.05612
184.28,-0.05859
184.32,-0.05679
184.36,-0.06594
184.4,-0.09029
184.44,-0.11518
184.48,-0.12385
184.52,-0.09087
184.56,-0.03432
184.6,0.02233
184.64,0.08219
184.68,0.14167
184.72,0.18913
184.76,0.23664
184.8,0.29701
184.84,0.34427
184.88,0.3712
184.92,0.3849
184.96,0.38171
185.0,0.37427
185.04,0.3733
185.08,0.37183
185.12,0.36378
185.16,0.35135
185.2,0.33499
185.24,0.30974
185.28,0.28749
185.32,0.27318
185.36,0.25877
185.4,0.2521
185.44,0.24309
185.48,0.23501
185.52,0.2343
185.56,0.23078
185.6,0.23243
185.64,0.22941
185.68,0.22357
185.72,0.22156
185.76,0.21549
185.8,0.20891
185.84,0.2031
185.88,0.20079
185.92,0.19531
185.96,0.19585
186.0,0.19633
186.04,0.1878
186.08,0.18688
186.12,0.1825
186.16,0.19372
186.2,0.20295
186.24,0.18553
186.28,0.17784
186.32,0.16869
186.36,0.16043
186.4,0.15526
186.44,0.14743
186.48,0.14636
186.52,0.14044
186.56,0.14571
186.6,0.16507
186.64,0.17769
186.68,0.17341
186.72,0.16786
186.76,0.17147
186.8,0.16628
186.84,0.15942
186.88,0.15427
186.92,0.14364
186.96,0.13129
187.0,0.12375
187.04,0.12008
187.08,0.11782
187.12,0.11981
187.16,0.11507
187.2,0.11269
187.24,0.10002
187.28,0.06678
187.32,0.04826
187.36,0.04362
187.4,0.04543
187.44,0.04421
187.48,0.0394
187.52,0.0392
187.56,0.03769
187.6,0.03166
187.64,0.02585
187.68,0.02118
187.72,0.00749
187.76,0.00655
187.8,-0.00048
187.84,0.00136
187.88,0.00273
187.92,-0.04619
187.96,-0.06532
188.0,-0.05985
188.04,-0.059
188.08,-0.05295
188.12,-0.05877
188.16,-0.05665
188.2,-0.05923
188.24,-0.06125
188.28,-0.06013
188.32,-0.06147
188.36,-0.05839
188.4,-0.06321
188.44,-0.06687
188.48,-0.06573
188.52,-0.0696
188.56,-0.07421
188.6,-0.07481
188.64,-0.07481
188.68,-0.0768
188.72,-0.0774
188.76,-0.07536
188.8,-0.07402
188.84,-0.0755
188.88,-0.08076
188.92,-0.08012
188.96,-0.07913
189.0,-0.08352
189.04,-0.08985
189.08,-0.10158
189.12,-0.10649
189.16,-0.10891
189.2,-0.11325
189.24,-0.12183
189.28,-0.12967
189.32,-0.12745
189.36,-0.12714
189.4,-0.12374
189.44,-0.13825
189.48,-0.16837
189.52,-0.16919
189.56,-0.16492
189.6,-0.17156
189.64,-0.1683
189.68,-0.16787
189.72,-0.16561
189.76,-0.16306
189.8,-0.16801
189.84,-0.1692
189.88,-0.16875
189.92,-0.16409
189.96,-0.16254
190.0,-0.16196
190.04,-0.16505
190.08,-0.16605
190.12,-0.16423
190.16,-0.1661
190.2,-0.16817
190.24,-0.20199
190.28,-0.22475
190.32,-0.22308
190.36,-0.22836
190.4,-0.21976
190.44,-0.20673
190.48,-0.19124
190.52,-0.17699
190.56,-0.17179
190.6,-0.17814
190.64,-0.18229
190.68,-0.17983
190.72,-0.18098
190.76,-0.17821
190.8,-0.17487
190.84,-0.1719
190.88,-0.16939
190.92,-0.17368
190.96,-0.18216
191.0,-0.18143
191.04,-0.1984
191.08,-0.22036
191.12,-0.21504
191.16,-0.21028
191.2,-0.20908
191.24,-0.20588
191.28,-0.20226
191.32,-0.19932
191.36,-0.19339
191.4,-0.19379
191.44,-0.19464
191.48,-0.18928
191.52,-0.1858
191.56,-0.18305
191.6,-0.17833
191.64,-0.17239
191.68,-0.19796
191.72,-0.21601
191.76,-0.21053
191.8,-0.2111
191.84,-0.20716
191.88,-0.20345
191.92,-0.20025
191.96,-0.19945
192.0,-0.19444
192.04,-0.19834
192.08,-0.19802
192.12,-0.1987
192.16,-0.19205
192.2,-0.19721
192.24,-0.25821
192.28,-0.25479
192.32,-0.18751
192.36,-0.15913
192.4,-0.19895
192.44,-0.24823
192.48,-0.23045
192.52,-0.20459
192.56,-0.19906
192.6,-0.20502
192.64,-0.20903
192.68,-0.20405
192.72,-0.20225
192.76,-0.19971
192.8,-0.19872
192.84,-0.19111
192.88,-0.18449
192.92,-0.18104
192.96,-0.1764
193.0,-0.17625
193.04,-0.17555
193.08,-0.17065
193.12,-0.16719
193.16,-0.16594
193.2,-0.16775
193.24,-0.16354
193.28,-0.15949
193.32,-0.1594
193.36,-0.16059
193.4,-0.16254
193.44,-0.16183
193.48,-0.17828
193.52,-0.1854
193.56,-0.19687
193.6,-0.20957
193.64,-0.22056
193.68,-0.21219
193.72,-0.14211
193.76,-0.09477
193.8,-0.04606
193.84,-0.01038
193.88,0.03649
193.92,0.11553
193.96,0.12605
194.0,0.17144
194.04,0.22954
194.08,0.24194
194.12,0.25465
194.16,0.25691
194.2,0.25549
194.24,0.24971
194.28,0.24718
194.32,0.23906
194.36,0.23542
194.4,0.23758
194.44,0.21932
194.48,0.19802
194.52,0.19802
194.56,0.19015
194.6,0.17251
194.64,0.14193
194.68,0.09829
194.72,0.08017
194.76,0.05195
194.8,0.02229
194.84,0.01728
194.88,0.01433
194.92,0.00046
194.96,-0.0092
195.0,-0.00302
195.04,-0.0148
195.08,-0.02523
195.12,-0.0218
195.16,-0.03348
195.2,-0.04204
195.24,-0.03286
195.28,-0.03517
195.32,-0.03717
195.36,-0.03538
195.4,-0.04399
195.44,-0.04434
195.48,-0.04222
195.52,-0.03758
195.56,-0.05404
195.6,-0.07531
195.64,-0.06309
195.68,-0.05146
195.72,-0.06235
195.76,-0.08398
195.8,-0.0836
195.84,-0.081
195.88,-0.10089
195.92,-0.10989
195.96,-0.10906
196.0,-0.1121
196.04,-0.11342
196.08,-0.10878
196.12,-0.09541
196.16,-0.07632
196.2,-0.06898
196.24,-0.08774
196.28,-0.10338
196.32,-0.09083
196.36,-0.07527
196.4,-0.08936
196.44,-0.11562
196.48,-0.11792
196.52,-0.11636
196.56,-0.13048
196.6,-0.15336
196.64,-0.17267
196.68,-0.18874
196.72,-0.20107
196.76,-0.18248
196.8,-0.1596
196.84,-0.15951
196.88,-0.15279
196.92,-0.14114
196.96,-0.14383
197.0,-0.13756
197.04,-0.13495
197.08,-0.16083
197.12,-0.17327
197.16,-0.1699
197.2,-0.16936
197.24,-0.16751
197.28,-0.17115
197.32,-0.17714
197.36,-0.18356
197.4,-0.19199
197.44,-0.18809
197.48,-0.18274
197.52,-0.18508
197.56,-0.17722
197.6,-0.17983
197.64,-0.18792
197.68,-0.17993
197.72,-0.13634
197.76,-0.07742
197.8,-0.03216
197.84,0.01744
197.88,0.05228
197.92,0.09108
197.96,0.12826
198.0,0.16942
198.04,0.17051
198.08,0.1685
198.12,0.27087
198.16,0.30392
198.2,0.31458
198.24,0.37358
198.28,0.37168
198.32,0.36824
198.36,0.35923
198.4,0.34879
198.44,0.34482
198.48,0.33651
198.52,0.32412
198.56,0.30673
198.6,0.2936
198.64,0.26982
198.68,0.25901
198.72,0.26349
198.76,0.2752
198.8,0.2754
198.84,0.26976
198.88,0.27177
198.92,0.2702
198.96,0.27054
199.0,0.26959
199.04,0.25991
199.08,0.23667
199.12,0.23177
199.16,0.23506
199.2,0.22815
199.24,0.22063
199.28,0.20156
199.32,0.19296
199.36,0.18911
199.4,0.18493
199.44,0.18137
199.48,0.16738
199.52,0.15982
199.56,0.15128
199.6,0.14412
199.64,0.13799
199.68,0.12842
199.72,0.12263
199.76,0.11884
199.8,0.11701
199.84,0.11219
199.88,0.11196
199.92,0.1062
199.96,0.1072
200.0,0.1096
200.04,0.10459
200.08,0.10245
200.12,0.09811
200.16,0.10512
200.2,0.03378
200.24,-0.0513
200.28,-0.04357
200.32,-0.03473
200.36,0.02263
200.4,0.12288
200.44,0.18453
200.48,0.22337
200.52,0.24593
200.56,0.27405
200.6,0.30156
200.64,0.31568
200.68,0.3174
200.72,0.30693
200.76,0.29824
200.8,0.28887
200.84,0.28151
200.88,0.27401
200.92,0.26295
200.96,0.26096
201.0,0.25745
201.04,0.24702
201.08,0.2383
201.12,0.23121
201.16,0.22184
201.2,0.22352
201.24,0.2125
201.28,0.16035
201.32,0.1459
201.36,0.15603
201.4,0.15209
201.44,0.16192
