timeFrame,upper_belt
180.0,-0.0341
180.04,-0.04599
180.08,-0.06173
180.12,-0.07905
180.16,-0.09123
180.2,-0.10316
180.24,-0.11537
180.28,-0.12424
180.32,-0.12751
180.36,-0.12709
180.4,-0.12567
180.44,-0.12582
180.48,-0.12907
180.52,-0.13151
180.56,-0.13123
180.6,-0.12763
180.64,-0.12299
180.68,-0.12097
180.72,-0.11989
180.76,-0.1191
180.8,-0.1165
180.84,-0.11177
180.88,-0.10713
180.92,-0.10859
180.96,-0.11651
181.0,-0.12358
181.04,-0.13417
181.08,-0.14604
181.12,-0.15316
181.16,-0.15514
181.2,-0.15039
181.24,-0.14439
181.28,-0.13559
181.32,-0.12216
181.36,-0.10919
181.4,-0.09506
181.44,-0.07687
181.48,-0.0567
181.52,-0.03671
181.56,-0.0153
181.6,0.00323
181.64,0.01886
181.68,0.03566
181.72,0.05087
181.76,0.06551
181.8,0.07768
181.84,0.08423
181.88,0.0839
181.92,0.08608
181.96,0.09919
182.0,0.10992
182.04,0.11605
182.08,0.1239
182.12,0.13009
182.16,0.13447
182.2,0.13662
182.24,0.13065
182.28,0.12002
182.32,0.11055
182.36,0.09944
182.4,0.09375
182.44,0.0951
182.48,0.09748
182.52,0.10079
182.56,0.1015
182.6,0.10046
182.64,0.09924
182.68,0.09693
182.72,0.0915
182.76,0.08392
182.8,0.08044
182.84,0.07813
182.88,0.07776
182.92,0.07836
182.96,0.07359
183.0,0.06762
183.04,0.05085
183.08,0.02461
183.12,0.02556
183.16,0.05476
183.2,0.06731
183.24,0.06473
183.28,0.06939
183.32,0.06871
183.36,0.06098
183.4,0.04879
183.44,0.04115
183.48,0.0415
183.52,0.04039
183.56,0.04253
183.6,0.04442
183.64,0.04632
183.68,0.04678
183.72,0.04509
183.76,0.04806
183.8,0.05321
183.84,0.06044
183.88,0.06745
183.92,0.07081
183.96,0.0689
184.0,0.06401
184.04,0.05645
184.08,0.04592
184.12,0.03905
184.16,0.03418
184.2,0.03255
184.24,0.03467
184.28,0.03296
184.32,0.03225
184.36,0.03303
184.4,0.03007
184.44,0.02703
184.48,0.02353
184.52,0.02262
184.56,0.02549
184.6,0.02828
184.64,0.03037
184.68,0.03218
184.72,0.03545
184.76,0.03476
184.8,0.02944
184.84,0.01775
184.88,0.00139
184.92,-0.00812
184.96,-0.0161
185.0,-0.02451
185.04,-0.02987
185.08,-0.03422
185.12,-0.03839
185.16,-0.04273
185.2,-0.04377
185.24,-0.04411
185.28,-0.04699
185.32,-0.05008
185.36,-0.0514
185.4,-0.05218
185.44,-0.05372
185.48,-0.05629
185.52,-0.05474
185.56,-0.04338
185.6,-0.02834
185.64,-0.00862
185.68,0.00905
185.72,0.01117
185.76,0.00508
185.8,-0.00081
185.84,-0.00434
185.88,-0.00619
185.92,-0.00713
185.96,-0.00915
186.0,-0.00966
186.04,-0.00914
186.08,-0.01579
186.12,-0.02365
186.16,-0.02974
186.2,-0.03662
186.24,-0.04055
186.28,-0.04403
186.32,-0.05114
186.36,-0.05643
186.4,-0.05968
186.44,-0.06598
186.48,-0.07039
186.52,-0.07043
186.56,-0.06748
186.6,-0.06468
186.64,-0.06222
186.68,-0.05992
186.72,-0.06046
186.76,-0.06162
186.8,-0.06277
186.84,-0.05894
186.88,-0.05433
186.92,-0.05693
186.96,-0.05988
187.0,-0.06243
187.04,-0.06423
187.08,-0.06344
187.12,-0.06349
187.16,-0.06381
187.2,-0.06447
187.24,-0.06279
187.28,-0.05839
187.32,-0.05665
187.36,-0.05628
187.4,-0.05795
187.44,-0.06036
187.48,-0.05958
187.52,-0.05914
187.56,-0.06124
187.6,-0.06693
187.64,-0.07265
187.68,-0.07667
187.72,-0.08261
187.76,-0.08614
187.8,-0.08868
187.84,-0.08989
187.88,-0.08853
187.92,-0.09129
187.96,-0.09281
188.0,-0.0942
188.04,-0.0952
188.08,-0.0919
188.12,-0.08967
188.16,-0.08679
188.2,-0.08537
188.24,-0.08367
188.28,-0.08383
188.32,-0.08883
188.36,-0.09238
188.4,-0.09386
188.44,-0.0911
188.48,-0.09243
188.52,-0.09953
188.56,-0.10598
188.6,-0.1131
188.64,-0.11301
188.68,-0.10589
188.72,-0.09622
188.76,-0.08011
188.8,-0.05757
188.84,-0.03019
188.88,-0.00191
188.92,0.02225
188.96,0.0439
189.0,0.06275
189.04,0.07775
189.08,0.09412
189.12,0.11541
189.16,0.14467
189.2,0.17723
189.24,0.20616
189.28,0.23117
189.32,0.252
189.36,0.27339
189.4,0.29748
189.44,0.32307
189.48,0.34524
189.52,0.36278
189.56,0.38572
189.6,0.40916
189.64,0.42537
189.68,0.44396
189.72,0.46349
189.76,0.47949
189.8,0.48636
189.84,0.47766
189.88,0.4681
189.92,0.44907
189.96,0.43512
190.0,0.4493
190.04,0.46559
190.08,0.49709
190.12,0.53156
190.16,0.53822
190.2,0.53557
190.24,0.52898
190.28,0.53008
190.32,0.53976
190.36,0.53938
190.4,0.52982
190.44,0.51754
190.48,0.50201
190.52,0.48957
190.56,0.48026
190.6,0.46182
190.64,0.43942
190.68,0.41568
190.72,0.3934
190.76,0.37645
190.8,0.36253
190.84,0.35576
190.88,0.35096
190.92,0.34269
190.96,0.33326
191.0,0.32941
191.04,0.33087
191.08,0.33676
191.12,0.34143
191.16,0.33644
191.2,0.33063
191.24,0.31975
191.28,0.30336
191.32,0.29047
191.36,0.28113
191.4,0.27778
191.44,0.27456
191.48,0.26743
191.52,0.26361
191.56,0.26411
191.6,0.26087
191.64,0.25477
191.68,0.24906
191.72,0.24083
191.76,0.2301
191.8,0.21926
191.84,0.20955
191.88,0.19696
191.92,0.18593
191.96,0.18105
192.0,0.17374
192.04,0.16726
192.08,0.16324
192.12,0.15389
192.16,0.14251
192.2,0.12559
192.24,0.10567
192.28,0.09468
192.32,0.09006
192.36,0.0884
192.4,0.08726
192.44,0.08366
192.48,0.07557
192.52,0.06415
192.56,0.05545
192.6,0.05211
192.64,0.05137
192.68,0.05026
192.72,0.04456
192.76,0.03645
192.8,0.03274
192.84,0.02482
192.88,0.01709
192.92,0.01655
192.96,0.01526
193.0,0.01233
193.04,0.00526
193.08,-0.00173
193.12,-0.0047
193.16,-0.00641
193.2,-0.00901
193.24,-0.00989
193.28,-0.00984
193.32,-0.01279
193.36,-0.01537
193.4,-0.01951
193.44,-0.02749
193.48,-0.04736
193.52,-0.07507
193.56,-0.10793
193.6,-0.14497
193.64,-0.17011
193.68,-0.19198
193.72,-0.20941
193.76,-0.22364
193.8,-0.2391
193.84,-0.24615
193.88,-0.25448
193.92,-0.26427
193.96,-0.27847
194.0,-0.29537
194.04,-0.3079
194.08,-0.31737
194.12,-0.31813
194.16,-0.3139
194.2,-0.30757
194.24,-0.30946
194.28,-0.31721
194.32,-0.3169
194.36,-0.31753
194.4,-0.32253
194.44,-0.3318
194.48,-0.33685
194.52,-0.33509
194.56,-0.33475
194.6,-0.3303
194.64,-0.32586
194.68,-0.32048
194.72,-0.31341
194.76,-0.30683
194.8,-0.29874
194.84,-0.29439
194.88,-0.28689
194.92,-0.28024
194.96,-0.27837
195.0,-0.27514
195.04,-0.27338
195.08,-0.26994
195.12,-0.26688
195.16,-0.26452
195.2,-0.26164
195.24,-0.26383
195.28,-0.27062
195.32,-0.27442
195.36,-0.27156
195.4,-0.27126
195.44,-0.27099
195.48,-0.26474
195.52,-0.25509
195.56,-0.24383
195.6,-0.23795
195.64,-0.23618
195.68,-0.23399
195.72,-0.22882
195.76,-0.22343
195.8,-0.21964
195.84,-0.21408
195.88,-0.21108
195.92,-0.20772
195.96,-0.20285
196.0,-0.19809
196.04,-0.19471
