timeFrame,upper_belt
0.0,0.16513
0.04,0.35454
0.08,0.31925
0.12,0.34241
0.16,0.33719
0.2,0.32986
0.24,0.32918
0.28,0.26919
0.32,0.23961
0.36,0.23731
0.4,0.22657
0.44,0.22746
0.48,0.20167
0.52,0.13146
0.56,0.0983
0.6,0.05417
0.64,0.0186
0.68,0.02695
0.72,0.01952
0.76,-0.00955
0.8,-0.03515
0.84,-0.05632
0.88,-0.09674
0.92,-0.13037
0.96,-0.17423
1.0,-0.22167
1.04,-0.25032
1.08,-0.26858
1.12,-0.27556
1.16,-0.29339
1.2,-0.29498
1.24,-0.26313
1.28,-0.23471
1.32,-0.22461
1.36,-0.20632
1.4,-0.19246
1.44,-0.1956
1.48,-0.18837
1.52,-0.17878
1.56,-0.17005
1.6,-0.16559
1.64,-0.164
1.68,-0.1602
1.72,-0.16518
1.76,-0.17333
1.8,-0.17746
1.84,-0.17789
1.88,-0.18002
1.92,-0.17974
1.96,-0.17452
2.0,-0.16499
2.04,-0.14545
2.08,-0.11559
2.12,-0.08852
2.16,-0.06906
2.2,-0.06585
2.24,-0.09036
2.28,-0.09855
2.32,-0.08653
2.36,-0.09448
2.4,-0.12639
2.44,-0.15313
2.48,-0.14984
2.52,-0.15279
2.56,-0.1821
2.6,-0.22064
2.64,-0.26202
2.68,-0.30451
2.72,-0.33775
2.76,-0.37028
2.8,-0.39598
2.84,-0.38913
2.88,-0.37314
2.92,-0.35526
2.96,-0.33586
3.0,-0.31663
3.04,-0.3033
3.08,-0.30511
3.12,-0.3015
3.16,-0.30007
3.2,-0.30133
3.24,-0.29733
3.28,-0.28864
3.32,-0.2747
3.36,-0.26564
3.4,-0.2585
3.44,-0.2512
3.48,-0.24669
3.52,-0.2456
3.56,-0.24177
3.6,-0.23254
3.64,-0.22816
3.68,-0.22655
3.72,-0.22316
3.76,-0.22251
3.8,-0.21781
3.84,-0.21201
3.88,-0.20906
3.92,-0.19938
3.96,-0.19361
4.0,-0.19818
4.04,-0.19974
4.08,-0.19977
4.12,-0.20586
4.16,-0.20861
4.2,-0.21314
4.24,-0.22279
4.28,-0.223
4.32,-0.22087
4.36,-0.22983
4.4,-0.24517
4.44,-0.26288
4.48,-0.27875
4.52,-0.28181
4.56,-0.27601
4.6,-0.25865
4.64,-0.26076
4.68,-0.28224
4.72,-0.27643
4.76,-0.26524
4.8,-0.26474
4.84,-0.26976
4.88,-0.26491
4.92,-0.26123
4.96,-0.26004
5.0,-0.26399
5.04,-0.27937
5.08,-0.28538
5.12,-0.25837
5.16,-0.15559
5.2,-0.07815
5.24,0.00153
5.28,0.09649
5.32,0.12983
5.36,0.24491
5.4,0.36316
5.44,0.4301
5.48,0.52306
5.52,0.57944
5.56,0.59502
5.6,0.59564
5.64,0.60544
5.68,0.60652
5.72,0.5825
5.76,0.55081
5.8,0.51906
5.84,0.49027
5.88,0.4563
5.92,0.42653
