timeFrame,upper_belt
0.0,0.00675
0.04,0.01693
0.08,0.01733
0.12,0.01615
0.16,0.01395
0.2,0.01365
0.24,0.01408
0.28,0.01335
0.32,0.01309
0.36,0.01145
0.4,0.01116
0.44,0.01055
0.48,0.00927
0.52,0.00775
0.56,0.00729
0.6,0.00912
0.64,0.00942
0.68,0.01085
0.72,0.0122
0.76,0.012
0.8,0.01299
0.84,0.01165
0.88,0.00879
0.92,0.00532
0.96,0.00593
1.0,0.0129
1.04,0.01483
1.08,0.01112
1.12,0.00915
1.16,0.00846
1.2,0.00824
1.24,0.00968
1.28,0.00993
1.32,0.00906
1.36,0.0082
1.4,0.00679
1.44,0.00684
1.48,0.00656
1.52,0.00703
1.56,0.01189
1.6,0.022
1.64,0.03097
1.68,0.03341
1.72,0.03906
1.76,0.05048
1.8,0.06141
1.84,0.07717
1.88,0.103
1.92,0.13259
1.96,0.16603
2.0,0.20866
2.04,0.25048
2.08,0.28494
2.12,0.31416
2.16,0.33953
2.2,0.36708
2.24,0.39115
2.28,0.40864
2.32,0.42869
2.36,0.45636
2.4,0.4905
2.44,0.52007
2.48,0.54403
2.52,0.57024
2.56,0.60071
2.6,0.62821
2.64,0.6438
2.68,0.65333
2.72,0.66035
2.76,0.66196
2.8,0.65449
2.84,0.64129
2.88,0.62872
2.92,0.61619
2.96,0.60684
3.0,0.59818
3.04,0.58656
3.08,0.57118
3.12,0.55491
3.16,0.5428
3.2,0.53542
3.24,0.53497
3.28,0.52888
3.32,0.51175
3.36,0.4996
3.4,0.49391
3.44,0.48738
3.48,0.47656
3.52,0.46233
3.56,0.45439
3.6,0.44354
3.64,0.42535
3.68,0.40914
3.72,0.38263
3.76,0.3598
3.8,0.34138
3.84,0.31128
3.88,0.28155
3.92,0.25311
3.96,0.23622
4.0,0.2293
4.04,0.22161
4.08,0.20578
4.12,0.18705
4.16,0.1801
4.2,0.17159
4.24,0.16686
4.28,0.16395
4.32,0.1512
4.36,0.14145
4.4,0.13318
4.44,0.11707
4.48,0.10297
4.52,0.0998
4.56,0.09819
4.6,0.09586
4.64,0.09663
4.68,0.09655
4.72,0.09562
4.76,0.09414
4.8,0.08783
4.84,0.08204
4.88,0.07124
4.92,0.05302
4.96,0.03846
5.0,0.02682
5.04,0.02027
5.08,0.01388
5.12,0.00704
5.16,0.00446
5.2,0.00369
5.24,0.00073
5.28,-0.0075
5.32,-0.01441
5.36,-0.01795
5.4,-0.01935
5.44,-0.02182
5.48,-0.02352
5.52,-0.0241
5.56,-0.02854
5.6,-0.03033
5.64,-0.02999
5.68,-0.03038
5.72,-0.03
5.76,-0.03455
5.8,-0.04241
5.84,-0.0502
5.88,-0.06207
5.92,-0.07535
5.96,-0.08903
6.0,-0.10023
6.04,-0.1068
6.08,-0.1145
6.12,-0.11923
6.16,-0.12436
6.2,-0.13164
6.24,-0.13257
6.28,-0.13009
6.32,-0.12669
6.36,-0.12474
6.4,-0.12566
6.44,-0.12659
6.48,-0.12653
6.52,-0.12597
6.56,-0.12807
6.6,-0.12964
6.64,-0.12928
6.68,-0.12896
6.72,-0.12648
6.76,-0.12511
6.8,-0.12741
6.84,-0.13506
6.88,-0.14682
6.92,-0.15603
6.96,-0.16179
7.0,-0.16407
7.04,-0.16502
7.08,-0.16885
7.12,-0.1723
7.16,-0.1735
7.2,-0.17388
7.24,-0.17109
7.28,-0.16619
7.32,-0.15977
7.36,-0.15085
7.4,-0.14196
7.44,-0.13089
7.48,-0.12051
7.52,-0.11561
7.56,-0.1144
7.6,-0.11624
7.64,-0.12152
7.68,-0.12834
7.72,-0.13129
7.76,-0.13224
7.8,-0.13121
7.84,-0.1287
7.88,-0.12725
7.92,-0.12511
7.96,-0.12521
8.0,-0.12528
8.04,-0.12545
8.08,-0.12278
8.12,-0.12263
8.16,-0.13156
8.2,-0.13656
8.24,-0.13997
8.28,-0.14216
8.32,-0.14021
8.36,-0.14008
8.4,-0.13928
8.44,-0.13684
8.48,-0.13462
8.52,-0.13238
8.56,-0.13132
8.6,-0.1352
8.64,-0.14205
8.68,-0.14791
8.72,-0.15151
8.76,-0.15463
8.8,-0.15729
8.84,-0.15283
8.88,-0.144
8.92,-0.13463
8.96,-0.12302
9.0,-0.11191
9.04,-0.097
9.08,-0.0767
9.12,-0.05842
9.16,-0.04206
9.2,-0.02577
9.24,-0.01044
9.28,2e-05
9.32,0.00352
9.36,0.00364
9.4,0.00212
9.44,-0.0022
9.48,-0.00712
9.52,-0.00829
9.56,-0.00926
9.6,-0.0117
9.64,-0.01475
9.68,-0.01774
9.72,-0.01867
9.76,-0.01946
9.8,-0.0209
9.84,-0.02379
9.88,-0.02403
9.92,-0.02328
9.96,-0.02307
10.0,-0.0217
10.04,-0.02633
10.08,-0.03024
10.12,-0.03377
10.16,-0.03948
10.2,-0.04039
10.24,-0.04083
10.28,-0.04059
10.32,-0.03852
10.36,-0.03807
10.4,-0.0397
10.44,-0.03841
10.48,-0.03944
10.52,-0.04259
10.56,-0.03923
10.6,-0.03682
10.64,-0.03521
10.68,-0.03499
10.72,-0.03793
10.76,-0.04159
10.8,-0.0466
10.84,-0.05148
10.88,-0.05633
10.92,-0.05989
10.96,-0.06132
11.0,-0.05976
11.04,-0.05789
11.08,-0.05717
11.12,-0.05822
11.16,-0.0594
11.2,-0.06032
11.24,-0.06473
11.28,-0.06943
11.32,-0.0758
11.36,-0.08114
11.4,-0.08124
11.44,-0.07729
11.48,-0.06893
11.52,-0.05838
11.56,-0.04529
11.6,-0.03342
11.64,-0.02339
11.68,-0.01202
11.72,-0.00112
11.76,0.01141
11.8,0.02513
11.84,0.03735
11.88,0.04863
11.92,0.06013
11.96,0.07155
12.0,0.07882
12.04,0.08202
12.08,0.08326
12.12,0.08143
12.16,0.07953
12.2,0.07848
12.24,0.07581
12.28,0.0729
12.32,0.07067
12.36,0.06902
12.4,0.06692
12.44,0.06259
12.48,0.05783
12.52,0.05487
12.56,0.05209
12.6,0.0491
12.64,0.0463
12.68,0.04458
12.72,0.04687
12.76,0.04653
12.8,0.04219
12.84,0.03808
12.88,0.03429
12.92,0.03344
12.96,0.02813
13.0,0.02302
13.04,0.02169
13.08,0.01747
13.12,0.01898
13.16,0.01878
13.2,0.01214
13.24,0.00917
13.28,0.00835
13.32,0.00641
13.36,0.00021
13.4,-0.01155
13.44,-0.02318
13.48,-0.0296
13.52,-0.03178
