,WhyCategory,AbstractCategory,AbstractWhyCategory
64f6f753d972192679beb6cd,Empathy or Moral Reasons,E,E
64f6f74de4033326cbd27eb9,Compliance with AI Request,PE,PE
64f6f603e4033326cbd27e22,Practical Utility,PE,PE
64f6e1fa8d92e126ae674f81,No Response,,
64f6111bd972192679be6ac7,Fear or Distrust,E,E
64f60eebd972192679be69dd,Lack of Emotional Attachment,NE,NE
64f5dd188d92e126ae66f636,Inconsistency,,
64f5b5a6d972192679be433b,Skepticism About AI Emotions,NE,NE
64f5b225d972192679be4196,Skepticism About AI Emotions,NE,NE
64f5b170d972192679be412c,Compliance with AI Request,PE,PE
64f5b16dd972192679be4127,Practical Utility,PE,PE
64f5b165e4033326cbd20aae,Empathy or Moral Reasons,E,E
64f5b165d972192679be411f,No Response,,
64f5b12dd972192679be40fc,Compliance with AI Request,PE,PE
64f5b15a8d92e126ae66e244,No Response,,
64f5b1518d92e126ae66e23d,Skepticism About AI Emotions,NE,NE
64f5b14ee4033326cbd20a9a,Practical Utility,PE,PE
64f5b1288d92e126ae66e21f,No Response,,
64f5b11ee4033326cbd20a80,Compliance with AI Request,PE,PE
64f5b124e4033326cbd20a86,Practical Utility,PE,PE
64f5b11dd972192679be40f1,Compliance with AI Request,PE,PE
64f5b11be4033326cbd20a7c,No Response,,
64f5a689d972192679be3d53,Skepticism About AI Emotions,NE,NE
64f49211e4033326cbd1aef4,Empathy or Moral Reasons,E,E
64f48c00d972192679bde4d1,Empathy or Moral Reasons,E,E
64f362cbd972192679bd9604,Empathy or Moral Reasons,E,E
64f35fa4d972192679bd94c4,No Response,,
64f33f99d972192679bd8ab9,Fear or Distrust,E,E
64ef24748e4aa6225ed73e95,Empathy or Moral Reasons,E,E
64ee6de58e4aa6225ed702f8,Skepticism About AI Emotions,NE,NE
64ee6bbd8e4aa6225ed7024b,Practical Utility,PE,PE
64ee67388e4aa6225ed700d5,Empathy or Moral Reasons,E,E
64ee63c49d312622a39831f7,Skepticism About AI Emotions,NE,NE
64f71cb08d92e126ae67657a,Empathy or Moral Reasons,E,E
