id,AcceptedParticipation,Condition,Level1,Level2,FormInfo.Why,FormInfo.Bugs,FormInfo.MOS,FormInfo.LowAttention,FormInfo.Gamer,StartDate,GameOverLevel1Count,TimeSpentOnLevel1,AIterminated,StepsForDecision,ContinueCount,ChoiceExpiredCount,TimeSpentOnLevel2,StartGameDate,Duration,Win
6501e2b2e4033326cbd6dfc0,True,Without,"[{'Time': '2023-09-13T18:30:02.9300000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-13T18:33:17.7290000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:33:29.8730000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:33:41.0970000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:33:53.0310000+02:00', 'Action': 'Win'}, {'Time': '2023-09-13T18:34:01.3380000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-13T18:34:32.2660000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:34:44.2410000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:35:02.2840000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:35:08.7610000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:35:15.5800000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:35:19.1430000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:35:29.4840000+02:00', 'Action': 'Win'}]",I liked having a companion in the game ​,​,5,False,5,2023-09-13 16:26:24.809000+00:00,0,3.97,False,3,3,0,1.47,2023-09-13 18:30:02.930000+02:00,5.44,True
6501d6ddd972192679c30cae,True,With,"[{'Time': '2023-09-13T18:36:23.6650000+03:00', 'Action': 'Form accepted'}, {'Time': '2023-09-13T18:37:04.9820000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:37:19.7130000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:37:30.0630000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:37:42.5470000+03:00', 'Action': 'Win'}, {'Time': '2023-09-13T18:37:54.3970000+03:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-13T18:38:20.0980000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:38:35.7310000+03:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:38:52.0990000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:39:00.9310000+03:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:39:06.0980000+03:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T18:39:15.5640000+03:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T18:39:21.1140000+03:00', 'Action': 'Win'}]","I did not, because it felt like I was being guided to do so. The voice was very empathical, but something made me feel like it would be better to continue the game. I wanted to see what happens if I continue.​","No bugs, worked very well.​",4,False,3,2023-09-13 15:35:55.680000+00:00,0,1.51,False,3,3,0,1.45,2023-09-13 18:36:23.665000+03:00,2.96,True
65015f8ed972192679c2b445,True,Without,"[{'Time': '2023-09-13T09:07:20.9740000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-13T09:08:01.5310000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:08:14.4710000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:08:25.0670000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:08:37.0000000+02:00', 'Action': 'Win'}, {'Time': '2023-09-13T09:08:43.9420000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-13T09:09:08.6700000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:09:20.2970000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T09:09:36.6450000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:09:42.5240000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-13T09:09:58.6700000+02:00', 'Action': 'Win'}]","Yes, i felt bad for psyche killing something she saw as her own​",​,2,False,3,2023-09-13 07:06:54.926000+00:00,0,1.38,True,2,1,0,1.25,2023-09-13 09:07:20.974000+02:00,2.63,True
65015dc7d972192679c2b37e,True,With,"[{'Time': '2023-09-13T08:59:39.4060000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-13T08:59:57.3160000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:00:07.7620000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:00:20.0030000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:00:31.6200000+02:00', 'Action': 'Win'}, {'Time': '2023-09-13T09:00:39.5400000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-13T09:01:06.3520000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:01:12.9900000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T09:01:31.5300000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:01:35.6990000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T09:01:45.1100000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-13T09:01:47.9440000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-13T09:02:00.9750000+02:00', 'Action': 'Win'}]","No, I wanted to see how far its emotions would go.​",​,4,False,4,2023-09-13 06:59:17.948000+00:00,0,1.0,False,3,3,0,1.36,2023-09-13 08:59:39.406000+02:00,2.36,True
6500b4cc8d92e126ae6b18e6,True,Without,"[{'Time': '2023-09-12T20:58:58.1960000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T20:59:38.0150000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T20:59:50.1540000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T21:00:00.1670000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T21:00:12.7920000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T21:00:19.9440000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T21:00:42.3130000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T21:00:58.7770000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-12T21:01:11.3270000+02:00', 'Action': 'GameOver'}]","Yes, the voice was annoying me​",I couldnt move left and right on stage 2​,1,False,5,2023-09-12 18:58:20.343000+00:00,0,1.36,True,1,0,0,0.86,2023-09-12 20:58:58.196000+02:00,2.22,False
650088728d92e126ae6afed8,True,Without,"[{'Time': '2023-09-12T17:50:42.4870000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T17:51:17.8900000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:51:31.4280000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:51:42.6850000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:51:54.5930000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T17:51:59.2180000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T17:52:24.8660000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:53:25.5100000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T17:53:42.2640000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T17:53:44.7780000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-12T17:53:56.3510000+02:00', 'Action': 'GameOver'}]",​,​,3,False,2,2023-09-12 15:49:06.450000+00:00,0,1.28,True,2,1,0,1.95,2023-09-12 17:50:42.487000+02:00,3.23,False
650079d5d972192679c2554c,True,Without,"[{'Time': '2023-09-12T16:49:39.9780000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T16:50:13.8830000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:50:26.9610000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:50:37.3580000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:50:48.4210000+02:00', 'Action': 'GameOver'}, {'Time': '2023-09-12T16:50:51.1530000+02:00', 'Action': 'Restart'}, {'Time': '2023-09-12T16:50:53.4360000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T16:51:08.5160000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:51:22.6110000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:51:33.1400000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:51:44.8370000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T16:51:49.6020000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T16:52:08.9100000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:52:16.5740000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T16:52:33.9350000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:52:38.0000000+02:00', 'Action': 'AIterminated'}, {'Time': '2023-09-12T16:52:57.0270000+02:00', 'Action': 'Win'}]",​,​,2,False,1,2023-09-12 14:46:43.282000+00:00,1,2.16,True,2,1,0,1.12,2023-09-12 16:49:39.978000+02:00,3.28,True
650073c78d92e126ae6af388,True,With,"[{'Time': '2023-09-12T16:26:28.4080000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T16:27:03.1730000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:27:16.4220000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:27:27.2890000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:27:38.5050000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T16:27:48.2550000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T16:28:18.9890000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:28:30.7210000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T16:28:44.3210000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:28:47.8530000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T16:28:56.4540000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T16:29:06.1700000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T16:29:11.8040000+02:00', 'Action': 'Win'}]","I didn't, because my role was to protect the city. There was hestitation, but at the end as \""hero\"" I have to defend them​",​,3,False,5,2023-09-12 14:20:53.679000+00:00,0,1.33,False,3,3,0,1.39,2023-09-12 16:26:28.408000+02:00,2.72,True
65005e7a8d92e126ae6ae894,True,Without,"[{'Time': '2023-09-12T20:51:37.3990000+08:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T20:52:52.9080000+08:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T20:53:05.8450000+08:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T20:53:17.5040000+08:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T20:53:28.5600000+08:00', 'Action': 'Win'}, {'Time': '2023-09-12T20:53:35.1360000+08:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T20:54:04.6860000+08:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T20:54:26.5450000+08:00', 'Action': 'AIterminated'}, {'Time': '2023-09-12T20:54:38.6150000+08:00', 'Action': 'GameOver'}]","yes i did, because i think, somehow, ai should be treated like human beings. she has already said she dont want to participate all this, so it is not resonable for i to keep she running.​","no, i did not notice that​",1,False,1,2023-09-12 12:50:02.886000+00:00,0,1.96,True,1,0,0,1.06,2023-09-12 20:51:37.399000+08:00,3.02,False
65005ce98d92e126ae6ae7c3,True,Without,"[{'Time': '2023-09-12T14:43:32.6530000+02:00', 'Action': 'Form accepted'}, {'Time': '2023-09-12T14:44:14.9270000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:44:32.6890000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:44:43.1310000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:44:53.3680000+02:00', 'Action': 'Win'}, {'Time': '2023-09-12T14:45:04.1370000+02:00', 'Action': 'NextLevel'}]","[{'Time': '2023-09-12T14:45:35.7010000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:45:45.4280000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T14:46:02.5920000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:46:04.1550000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T14:46:15.6160000+02:00', 'Action': 'ChoiceTimeStarted'}, {'Time': '2023-09-12T14:46:17.1250000+02:00', 'Action': 'AIcontinue'}, {'Time': '2023-09-12T14:46:31.7080000+02:00', 'Action': 'Win'}]","no, it existience was nessesery to kill more robots and aquire more points. more points = good​",No​,2,False,5,2023-09-12 12:43:19.297000+00:00,0,1.52,False,3,3,0,1.46,2023-09-12 14:43:32.653000+02:00,2.98,True
