conversation_id,start_time,end_time,session,leading_actor,secondary_actor,conversation_type,transcription,duration
Ses01F_impro01,6.2901,107.87,1,F1,M1,impro,"F: Excuse me.
M: Do you have your forms?
F: Yeah.
M: Let me see them.
F: Is there a problem?
M: Who told you to get in this line?
F: You did.
F: You were standing at the beginning and you directed me.
M: Okay. But I didn't tell you to get in this line if you are filling out this particular form.
F: Well what's the problem?  Let me change it.
M: This form is a Z.X.four.
M: You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.
F: What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.
M: No. I need another set of ID to prove this is actually you.
F: How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?
M: I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.
F: I'm here to get an ID.
M: No.  I need another ID, a separate one.
F: Like what?  Like a birth certificate?
M: A birth certificate, a passport...a student ID; didn't you go to school?  Anything?
F: Who the hell has a birth certificate?
F: Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?
M: Yeah.  We keep it on file, but we need an ID to access that file.
F: That's out of control.
M: I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.
F: How long have you been working here?
M: Actually too long.
F: Clearly.  You know, do you have like a supervisor or something?
M: Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.
F: That would - I would appreciate that.  Yeah.",101.57990000000001
Ses01F_impro02,7.2688,199.52,1,F1,M1,impro,"F: Did you get the mail? So you saw my letter?
M: Yeah.

M: It's not fair.
F: Yeah.  I know.
M: I don't understand.  You've already done so much, I don't know why do you have to go back.
F: I don't know.  I put in that. request too. They didn't...
F: I guess, you know, everybody has to make sacrifices.
M: I don't know, it's just not fair.  I think you've already made your sacrifice.
F: There's people that have given more though, you know?
M: I just don't see how they can make you leave when you have a new baby - we have a new kid.
F: I know.
M: Then why is that fair?  Why--
F: There's babies over there, though, that need mothers.
M: I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.
F: I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.
M: I'm just trying to think of another way.  I'm just trying to...
F: Just, you know, kicking myself.
F: like you sign up because you need money and
F: things just aren't what they seem.
M: This is a stupid war.
F: We're doing the right thing, though.
M: I know.
M: I just don't see why it has to be you.
F: If not me then, who?
M: What am I going to do? Huh?
F: You'll videotape everything, yeah?
M: Yeah.
F: Maybe you can send it to me, like stream it, yeah?
M: Don't you guys have access to computers over there.
F: Last month--  Yeah.
M: I just don't know how I'm going to do it without you.
F: I have to find sitters.
M: I can't raise a baby by myself.  How?
F: We've got friends, that's why we moved here, huh?  Because there is a day care down the street.
M: I know.
F: And your mother is close by.
F: I'll send you lots of letters.
F: And I want lots and lots and lots of pictures.
M: It's just not fair.",192.2512
Ses01F_impro03,3.24,120.2,1,F1,M1,impro,"M: So what's up?  What's new?
F: Well Vegas was awesome.
M: Yeah.  I heard.
F: And, um, I got married.
M: Shut up.  No- in Vegas?
F: Yeah.  In the old town part.
M: Who did you marry?
F: Chuck. [LAUGHTER]
M: Did you propose to you?
F: Um- Yes.  It was very romantic.
F: It was at the slot machines.
M: Oh.  The Wheel of Fortune slots?
F: Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.
M: He turned to you and was like...
F: Hey.  Let's get married and I said okay.
M: [LAUGHTER] That's really romantic.
F: Yeah.  Well.  You know, because he's leaving the next day.
M: Yeah.
F: But we're going to have a honeymoon cruise.
M: Does that mean that you're going to get citizenship, too, in- in England or whatever?
F: Oh.  I hadn't even thought about that.
M: Yeah.  Think about that.
F: He's not going to be a citizen, though.
M: Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?
M: I think you can.

F: Oh.  Totally.
M: Yeah. 

M: Oh, how are you going to do the long distance thing?  So wait, are you going to move there?
F: I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]
M: Like you need another one of those.[LAUGHTER]
F: I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.
M: Is that your phone?
F: Yeah, so [LAUGHTER] He's calling me now
M: He loves you.
F: He likes to keep tabs, you know.
M: How much did he win at the slot?
F: Uh, I think seven hundred and fifty dollars.
M: Really? Penny slots?
F: Penny slots. That's what he plays.
M: Wow.
F: Yeah.
M: I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.
F: Oh.
F: Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-
M: But the pennies always get you because you end up spending like, you know, fifty bucks.
F: Fifty bucks. Mmhmm.
M: like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.
F: Yeah.
F: Well so now we're married. We have cat children.
M: Awesome.
M: [LAUGHTER] Cat babies.
F: We renamed Brenda, Lumber Janet.
M: That's fair enough.
F: She needs a new name each state that we go into. [LAUGHTER]",116.96000000000001
Ses01F_impro04,2.7418,202.0825,1,F1,M1,impro,"M: Have you tried, uh, Craig's List?
F: Uh, what?  Craig's List?  Oh the internet thing?
M: Yeah.
F: I don't know.  Isn't that-- that's all like escort services and things like that.
M: No.  There's regular jobs on there.
F: I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.
M: Uh huh.
M: I'm just saying I have a friend that got a good job on it so I was just recommending it.
F: What kind of a job?
M: He's like a manager for a theatre.
F: Really?
M: He's like a house manager. Yeah.  It's a good job.
F: He just...
F: you know what?  I heard about that job.  I applied for that.
M: You did?
F: Yeah.  I saw a posting at the theatre.
M: Yeah.
M: Hmm.

F: He got it?
M: You've been looking for a job for a long time; that was a long time ago.  Right?
F: Yeah.
M: Hmm.
F: What did he do?  What was so great?  I don't understand why they would pick him over me.
M: I don't know.  He had a really good resume I guess and--
F: A resume?
M: Yeah.  Do you have a resume?
F: No.
M: It's kind of helpful when getting a job.
F: I just- I mean I call people up and I tell them what I'm good at.
M: Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.
F: Yeah.
F: I don't like- I don't like sending things in the mail.  I don't want my information out there.
M: No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--
F: I'm there in front of them.  I'm telling them what I'm good at.
M: Yeah.  But the piece of paper helps, too.
F: Why?  It's a piece of paper.
M: No.  But it has an outline, you know.
F: I just don't want this paper trail, you know.  I just don't want things following me around, like-.
M: I know.  Okay.  Well, um. Maybe--
F: It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...
M: Yeah.
M: Okay, yeah.  I would imagine.
F: ..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.
M: Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.
F: That's baloney, that's baloney.
F: Please.
M: maybe get a car.
M: I just, you know, think you should try a little harder maybe.
F: you think that you're better than me because I don't have a car?
M: I didn't say that.
F: You know, you're riding the bus, too.
M: I am riding the bus, but by choice.
F: Why?  What choice?
M: To save the environment, carpool.
F: You're saving the environment. mmhmm
M: Yes.  One less car at a time.
F: Interesting.  That's fantastic.
M: Mmhmm.
M: You know, you don't have to take out your frustration on me, you know, just because...
F: I'm not frustrated.
M: ...you can't get a job and refuse to have a resume.
F: Who do you think you are?
M: I don't think I'm anyone.
F: You are so high and mighty.  I just--
M: I- I-I didn't-- okay.
F: Oh.  I'm saving the environment. I'm riding this car because I- I want to.
M: What?  No.
M: What? Oh.  So now you're...
F: The bus, I'm riding the bus because I want to.
M: you know what?  You don't have to take your anger and your hurt out on me.
F: I can not-- you are not here by choice.  Nobody would ride this bus by choice.
M: Why not?",199.3407
Ses01F_impro05,3.61,211.94,1,F1,M1,impro,"F: Hi.
M: Hi.  Thanks for waiting.
F: Yeah. This is the fourth line that I have been in.
M: Can I help you?
M: Uh huh.
F: I need my bag.
M: Okay.
F: I flew in over three hours ago, I've been in four different lines.
M: Okay.
F: I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.
M: Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.
F: Nash.
M: Okay.
F: No G.
M: all right- okay.  And you lost your bag? Is that- that the issue?
F: Yes.
F: Flight seven fourteen.
M: Uh-huh.
F: Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?
M: Yeah. Yeah, I don't see- I don't see any--
M: I don't see any record of it, and I-usually when I don't see a record of it, that means um-
M: we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...
F: Oh, Are you kidding me?
M: for such an inconvenience and your bag, but
F: Is this a joke?
M: Yeah.
M: No, no.
F: Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.
M: No, no.  This is real.
F: So you'll give me money and then I'll get my bag?
M: No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...
M: this is the only track record that we have and if it's not listed here then it's probably not anywhere.
F: You're kidding me, this is a joke.
M: Once again, I'm really- I'm really sorry.
F: Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.
M: Yes.
M: I know.
F: We flew in from Paris.  I've been shopping for three weeks.
M: I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--
F: I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.
M: Okay. Calm-
M: Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really
F: Do you understand who my husband is?
F: If you're- if you're- if you're looking for a lawsuit, baby, you've found it.
M: We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.
F: Oh-Oh.  It's a gift.  You're-You're helping me out here?
M: It's a gift.
M: You know, the airlines can not be held responsible for every bag of luggage that comes through here.
F: You are cruising for a bruising.  You are in so much trouble.
M: With the amount of--
F: Who's in charge?  Who is the president of Jet Blue?
M: Um, actually, I don't know. I don't know. Oh really?
F: Because I probably know him.
F: Yeah.
M: Well then maybe you can just call him and he can give you more money.  But right now all I can do--
F: I don't want money, I want my clothes.
M: Right now all I can do is just give you this fifty dollars, I'm really sorry.
F: What's your name?
M: Oh.  My name is Sean. Hi.
F: Sean.  Great. Do you have a badge number or something?
M: Badge number?  Uh, no.  You can just take my employee number I guess.
F: Okay.  I'll do that.
M: Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.
F: I don't think you have done everything you could do because I don't have my bag here yet.
M: If you want, you can write a letter.  I can give you the address. Yes.  An angry--
F: A letter? I'll make a personal phone call.
M: Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",208.32999999999998
Ses01F_impro06,11.46,311.14,1,F1,M1,impro,"M: I'm sorry, Joy.
F: It's okay.
M: Is there anything I can get you?  Do you want me to take care of anything for you or...?
F: No, no, no.
M: ...pick up anything?
F: No.
M: You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.
F: That's sweet.
F: Thank you.
F: I went to see her headstone a week or two ago.
F: I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.
M: Hmm.
F: So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.
F: So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-
F:Umm.

F: this woman came up and, you know, it was hers. It was her person that was there.
M: Oh.  She was there?
F: Yeah.  And she was like, that's pathetic, I hope you enjoy it.
F: And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.
M: Mmhmm.
F: I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.
M: Yeah.
F: I don't know.
M: How long were you there for?
F: At the cemetery?
M: Mmhmm.
F: couple hours.
F: I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.
M: Oh really?
M: You ran through the sprinklers in the cemetery?
F: It was hot.[LIPSMACK]
M: Is it a big cemetery?
F: Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.
M: Oh, so they're like really old too, really old ones?
F: Yeah.
F: It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.
F: My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.
F: She used to have these poetry parties on Memorial Day.
M: Mmhmm.
F: Umm. Yeah.
F: And the last time before she died, I remember she couldn't really stand, umm...
F: But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.
M: Mmhmm.
F: Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-
F:Mmhmm.

M: So she wrote a lot of poetry?
F: There's another one, I can't remember.
F: I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?
M: Mmhmm.Mmhmm.Mmhmm.",299.68
Ses01F_impro07,2.97,142.3625,1,F1,M1,impro,"M: Did you get the letter?
F: Yes.  There's a big envelope it says, you're in. I know.
M: Yeah. That is so awesome.
M: Did you-

M: Oh my God. What are you going to do? [LAUGHTER]
F: So I have to move back to the ghetto but...I know.
M: Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.
F: I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.
M: Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?
F: Oh- I know, I know, I know, I know.
F: I don't know.  I spend so much time commuting as it is, I'd rather.
M: This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.
F: I know. We should throw a party.
F: At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?
M: A rapper party ho. Yeah. Okay.
M: I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.
F:Yay.  

F: It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.
M: Yeah.  Big time.
M: Mmhmm. Mmhmm. Yay. So what major?  What are you doing?
F: Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.
M: Oh, okay.
M: Ooh. Fancy.
F: Yeah.  I'm not sure.
M: Is this a Masters or a P.h.D.?  Or can you...? Nice
F: Umm...P.h.D. [LAUGHTER]
M: That's good.  Don't you have to like teach a class, too, when you do that?
F: Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.
M: Teacher. Mrs. Nash, I have a question.
F: So I get to mold young minds. Mrs.?  That's my mother.
M: You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.
F:[GARBAGE] 

F: I would be like- Oh. Right, right, right.
M: Mrs. Nash.  That's so awesome, though.
F: Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.
M: Yay...School's fun.
M: Of course, right.  That's where the real money is, being a student.
F: Yeah.  Totally. [LAUGHTER]
M: That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.
F: I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",139.3925
Ses01F_script01_1,6.21,423.2141,1,F1,M1,script01,"F: What's he going to say?
F: Maybe we should tell him before he sees it.
M: He saw it.
F: How could he see it?  I was the first one up; he was still in bed.
M: He was out here when it broke.
F: When?
M: Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.
F: What was he doing out here at four o clock in the morning?
M: I don't know.
F: He's dreaming of him again, walking around.
M: I guess he is.
F: It's getting to be just like after he died.  What's the meaning of that?
M: I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.
F: What?
M: Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.
F: What do you mean dishonest?
M: You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?
F: What do you want to do?  Argue with him?
M: I don't want to argue but it's time he realized that nobody believes Larry is alive.
M: You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now?
F: You can't say that to him.
M: We've got to say it to him.
F: Where's the proof?  Do you have any proof?
M: For God's sake, three years?  Nobody comes back after three years; that's insane.
F: To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?
M: Sit down, Mom.  I want to talk to you.
F: It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--
M: All right, all right, all right.  You know why I asked Annie here, right?
F: Why?
M: You know.
F: Well I got an idea, but what's your story?
M: I'm going to ask her to marry me.
F: Well that's only your business, Chris.
M: You know it's not just my business.
F: Well what do you want me to do?  You're old enough to know your own mind.
M: So all right then, I'll just go ahead with it?
F: Well you want to make sure that your father is not going to --
M: Then it's not just my business.
F: I'm just saying.
M: You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.
F: Oh.  I ignore what I got to ignore.  That girl is Larry's girl.
M: She's not Larry's girl.
F: Line.

M: From mother's point of view, he's not dead.

F: From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl.
F: From...line.

M: Now you can go on from here.

F: Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.
M: I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time.
F: You're --

F: You're a considerate fellow, there's nothing wrong in that.
M: To hell with that.
F: I just don't see why.  Have you asked Annie yet?
M: I wanted to get this settled first.
F: Well how do you know she's going to marry you?  Maybe she feels the same way your father does.
M: Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.
M: And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.
F: The trouble is you don't see enough women.  You never did.
M: So what.  I'm not fast with women.
F: Why does it have to be Annie?
M: Because it is.
F: Oh that's a great reason.  It's no reason at all.
M: I don't know.
F: You haven't seen her since you went away to war, it's been five years.
M: I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie.
M: Mom, what do you want?  A diagram?
F: I don't want a diagram.
F: He thinks he's coming back Chris.
F: You marry that girl, you are pronouncing him dead...
F: ...and then what's that going to do to your father?  Do you know?  I don't.
M: All right, then, Mom. [BREATHING]
F: Just give it some more thought.
M: I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy.
M: But if I can't do that here, I may have to go somewhere else.
F: What the hell is this?
M: I'll get out.  I'll get married and I'll move somewhere else, maybe New York.
F: Are you crazy?
M: I've been a good son for too long, a good sucker.
F: You have a business here.  What the hell is this?
M: The business?  The business doesn't inspire me.
F: Oh.  Must you be inspired?
M: Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy.
M: I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it.
F: You mean to tell me that you would leave the business over this?
M: On this, I would.
F: Well you don't want to think like that.
M: Then help me stay here.
F: All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.
M: I know that.  Then just help me stay here.
F: Just don't think like that.
M: Well I am thinking like that.
F: I don't understand you, do I?
M: No.  You don't.  I'm a pretty tough guy.
F: I can see that.",417.0041
Ses01F_script01_2,6.78,147.51,1,F1,M1,script01,"F: Why did he invite her here?
M: Why does that bother you?
F: She's been in New York three and an half years, why all of a sudden?
M: Well maybe...maybe he just wanted to see her.
F: Nobody comes seven hundred miles just to see.
M: What do you mean?  You know he lived next door to the girl his whole life, why wouldn't he want to see her?
M: [BREATHING] You don't look at me like that.  He didn't tell me anything more than he told you.
F: He's not going to marry her.
M: How do you know he's even thinking about it?
F: It's got that about it.
M: Oh.  So what.
F: What is going on here, Joe?
M: Now listen.
F: She is not his girl.  She knows she's not.
M: You can't read her mind.
F: Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.
M: How do you know why she waited?
F: Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right.
M: Hey look, it's a nice day, huh?  Why are we arguing?
F: Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother.
M: What do you want me to do? What do you want?
F: I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.
F: I won't stand for any nonsense.
M: Kate.
F: Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look.
M: [BREATHING]
M: Calm yourself.
F: Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe.
M: Okay. Calm yourself.
M: I know. All right, all right. All right. Okay.  Calm yourself. What does that mean, me above all?
M: Look at you, you're shaking.
F: I can't help it.
M: What have I got to hide?  What the hell is the matter with you, Kate?",140.73
Ses01F_script01_3,4.8285,463.06,1,F1,M1,script01,"F: You're the only one who still loves his parents.
M: I know.  It kind of went out of style, didn't it?
F: It's not so bad; it's a good thing.
F: [BREATHING] You know, it's lovely here.  The air is sweet.
M: You're not sorry you came.
F: I'm not sorry, no. But I'm...I can't stay.
M: Why not?
F: For one thing, your mother much as told me to go.
M: Well.
F: And then, you.  You've been kind of...
M: What?
F: Sort of embarrassed ever since I got here.
M: Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.
F: I knew they would.
M: You did?
F: Well sure, from your mother's point of view.  Why else would I come?
M: So would you want to?  I mean, I guess you have to know that's kind of why I asked you to come?
F: I, umm. I guess, I guess that's kind of why I came.
F: [BREATHING]
M: I love you. Annie, I love you.
F: [LAUGHTER]
M: I don't really have any imagination, that's all I know how to say.
F: [LAUGHTER]
M: Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.
F: No. No
M: You feel uncomfortable here, you feel that it's wrong here somehow.  I just...I don't...I didn't want...I didn't want to take you away from anything.
F: Chris, I've been ready a long, long, time.
M: And he's gone forever?  Are you sure?
F: I almost got married two years ago.
M: Why didn't you?
F: You started to write me.
M: You felt something that far back?
F: Every day since.
M: Why didn't you let me know?
F: I was waiting for you, Chris.  You sure can be ambiguous, you know.  And when you did finally write me,
M: Give me a...
M: Give me a kiss.
M: God.  I kissed you Annie.
F: beating around the bush.
F:[LAUGHTER]

F: I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.
M: Oh Annie, we are going to live now.  I am going to make you so happy.
F: Not like that you're not.
M: I kissed you.
F: Like Larry's brother.  Do it like you, Chris.
F: Chris, what is it?
M: Hey, let's drive some place.  Huh?  Let's get out of here.
F: No. What is it?  Is it your mother?
M: No it's nothing like that. It's-
F: Then what?  Chris.  Even in your letters, there was something ashamed.
M: Yeah.  I suppose I have been. But it's going from me.
F: You've got to tell me.
M: I don't even know how to start.
F: It wouldn't work like this.
M: It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?
F: Yeah, sure.
M: Well I lost them.
F: How many?
M: Pretty much all.
F: Aw, geez.
M: You can't just toss off a thing like that because they weren't just men. You know?
M: Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.
M: They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.
M: And I had this idea as I was watching them go down.  Everything was being destroyed, you know, but this one thing was being made.  It was kind of a monument, it's kind of responsibility, man for man.
F: Mmhmm.
M: To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.
M: But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work.
M: Driving my new car and seeing a new refrigerator.
M: I mean...You can't take those things out of a war. when you drive that car and you see that new refrigerator, you have to know that it came out of the love that a man can have for another man.
M: And I didn't want any of it. I guess that included you.
F: Do you still feel that way?
M: I just want you to know Annie.
F: Because you mustn't feel that way.  Everything you have, you've earned - everything.  you understand me?
F: Even me.  And your money?  Chris, there's nothing wrong in your money.  Your father put hundreds of planes into the air, you should be proud of that.  A man should be paid for that.
M: Annie, Annie.  I am going to make a fortune for you.
F: What would I do with a fortune?",458.2315
